,country_code,gdp_per_capita,alt_energy_use_percent,population
0,LU,79511.2053816066,0.600290424214778,543360.0
1,BM,68637.690459792,,65001.0
2,NO,66511.8613019854,34.0278415754574,5079623.0
3,QA,61814.0853171324,,2101288.0
4,IS,59288.5449574672,89.0136084529963,323764.0
5,CH,58996.896141459,39.4463861365084,8089346.0
6,MO,53351.0976004778,,568056.0
7,IE,47250.8877093496,3.36612171535887,4598294.0
8,DK,47219.8898419007,6.11921833758437,5614932.0
9,US,45660.7337641443,12.0603886241653,316497531.0
10,SE,45453.6515608198,48.502343003519,9600379.0
11,NL,42893.7807116238,1.73883371813725,16804432.0
12,AT,41220.410466016,12.4569423192977,8479375.0
13,GB,40199.3169438871,11.2983925197249,64106779.0
14,DE,39208.7600724321,11.1828256626966,80645605.0
15,FI,39057.5016068566,22.7051867395701,5438972.0
16,CA,37753.6325053539,24.4581997277996,35158304.0
17,BE,37599.7354980609,20.8162330047199,11182817.0
18,JP,37573.3737330618,2.89309239953813,127338621.0
19,AU,37497.0706169543,2.17626942102605,23125868.0
20,SG,37491.0818639059,,5399200.0
21,FR,35754.6524072213,47.0213791478888,65925498.0
22,AD,34835.709370181,,75902.0
23,HK,33638.9676546556,,7187500.0
24,NZ,29201.1178753936,31.4457961833602,4442100.0
25,IT,29129.8111805492,8.30629232281644,60233948.0
26,KW,28258.4452357635,,3593689.0
27,AE,25992.1763763906,,9039978.0
28,ES,25149.743076416,21.7456135559314,46620045.0
29,BN,24554.0913791446,,411499.0
30,IL,24341.5111204724,4.69167906445084,8059500.0
31,KR,23875.1809907616,14.0959912794795,50219669.0
32,CY,22152.4124729121,,1141652.0
33,BS,20736.5473440396,,377841.0
34,PR,19801.3886943996,,3595839.0
35,SI,18640.0911707195,28.0049037321004,2059953.0
36,GR,18120.6079702709,5.64417333274495,11027549.0
37,PT,18034.8928191441,11.2422594020801,10457295.0
38,BH,17277.9209732057,,1349427.0
39,MT,16759.8648740103,,423374.0
40,SA,16748.2103341028,,30201051.0
41,SC,15447.3074223473,,89900.0
42,SK,15371.3057669969,27.3197087553088,5413393.0
43,CZ,14647.5319711573,20.5906959889733,10514272.0
44,TT,14200.314975683,,1348240.0
45,BB,12190.3610299013,,282503.0
46,EE,12056.221239462,0.810564323371362,1317997.0
47,GQ,11661.9798929136,,797082.0
48,OM,11595.7977308397,,3906912.0
49,AG,11481.385187824,,89985.0
